https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1627344000000,2021-07-27 0:00:00,ADA/USDT,1.2549,1.2676,1.243,1.2452,3555566.86,4465084.275,8051
1627257600000,2021-07-26 0:00:00,ADA/USDT,1.2283,1.3991,1.2221,1.2551,415073283.9,547924739.6,975146
1627171200000,2021-07-25 0:00:00,ADA/USDT,1.2332,1.2388,1.19,1.2284,107934124.5,131208367.1,218902
1627084800000,2021-07-24 0:00:00,ADA/USDT,1.2075,1.2487,1.1964,1.2327,142716783,173727524.7,293673
1626998400000,2021-07-23 0:00:00,ADA/USDT,1.1857,1.2089,1.1465,1.2077,131335875.1,154913279.8,310334
1626912000000,2021-07-22 0:00:00,ADA/USDT,1.1711,1.2081,1.1492,1.1856,158912321.8,187077128.5,303957
1626825600000,2021-07-21 0:00:00,ADA/USDT,1.0541,1.2222,1.0366,1.1711,287296624.8,329529795.8,484015
1626739200000,2021-07-20 0:00:00,ADA/USDT,1.1226,1.1362,1.0202,1.0539,283618751.2,300482457.3,416093
1626652800000,2021-07-19 0:00:00,ADA/USDT,1.1814,1.1921,1.1156,1.1225,138646747.2,158333071.4,216380
1626566400000,2021-07-18 0:00:00,ADA/USDT,1.1721,1.2186,1.1666,1.1813,108584207.6,129455682.1,193407
1626480000000,2021-07-17 0:00:00,ADA/USDT,1.1705,1.1948,1.1497,1.1721,124485807.1,145637408.2,225449
1626393600000,2021-07-16 0:00:00,ADA/USDT,1.2258,1.245,1.1655,1.1708,159173625.7,190852629.8,290705
1626307200000,2021-07-15 0:00:00,ADA/USDT,1.2634,1.29,1.205,1.2258,133685795.2,165010923.5,261230
1626220800000,2021-07-14 0:00:00,ADA/USDT,1.2649,1.2894,1.198,1.2635,165466902.3,205613919,323301
1626134400000,2021-07-13 0:00:00,ADA/USDT,1.3126,1.3216,1.25,1.265,125015669,160715456,248079
1626048000000,2021-07-12 0:00:00,ADA/USDT,1.3485,1.3736,1.2916,1.3126,112067630.5,149660876.2,238866
1625961600000,2021-07-11 0:00:00,ADA/USDT,1.3356,1.3669,1.3231,1.3485,71704260.26,96252011.62,172388
1625875200000,2021-07-10 0:00:00,ADA/USDT,1.3504,1.366,1.3158,1.3356,93476664.31,124946490.5,242605
1625788800000,2021-07-09 0:00:00,ADA/USDT,1.3268,1.3746,1.2859,1.3504,160293985.2,213730318.8,375438
1625702400000,2021-07-08 0:00:00,ADA/USDT,1.404,1.4065,1.3194,1.327,175680408.7,239803654.9,348315
1625616000000,2021-07-07 0:00:00,ADA/USDT,1.4156,1.4416,1.4,1.404,125167777,178159850.1,254242
1625529600000,2021-07-06 0:00:00,ADA/USDT,1.4039,1.4578,1.3888,1.4157,173402604.3,246828693.2,474377
1625443200000,2021-07-05 0:00:00,ADA/USDT,1.4615,1.4616,1.3764,1.4039,210256310.9,297312194.3,433806
1625356800000,2021-07-04 0:00:00,ADA/USDT,1.4045,1.4955,1.3815,1.4615,185325977.3,267332413.2,469893
1625270400000,2021-07-03 0:00:00,ADA/USDT,1.3947,1.4444,1.3579,1.4045,197443853.8,277572501.5,641233
1625184000000,2021-07-02 0:00:00,ADA/USDT,1.3312,1.3959,1.285,1.3946,235621261.5,315348818.3,716140
1625097600000,2021-07-01 0:00:00,ADA/USDT,1.3853,1.3862,1.302,1.3313,196824530.3,262447755,468032
1625011200000,2021-06-30 0:00:00,ADA/USDT,1.3731,1.3993,1.2825,1.3853,263769140.5,354446349.1,550586
1624924800000,2021-06-29 0:00:00,ADA/USDT,1.3261,1.42,1.319,1.373,287571860.2,394907812.3,571006
1624838400000,2021-06-28 0:00:00,ADA/USDT,1.3379,1.3506,1.3042,1.326,220547816.2,292756074.2,607034
1624752000000,2021-06-27 0:00:00,ADA/USDT,1.252,1.3499,1.241,1.338,242097878.3,310315583.6,445825
1624665600000,2021-06-26 0:00:00,ADA/USDT,1.252,1.2923,1.1968,1.2521,307404658.4,380549653.2,557818
1624579200000,2021-06-25 0:00:00,ADA/USDT,1.3604,1.3971,1.2431,1.2521,548380704.2,722838979.2,1112696
1624492800000,2021-06-24 0:00:00,ADA/USDT,1.2513,1.3998,1.2006,1.3604,427028527.8,568197037.8,1036438
1624406400000,2021-06-23 0:00:00,ADA/USDT,1.1563,1.31,1.108,1.2512,490479573.3,607806302.7,776745
1624320000000,2021-06-22 0:00:00,ADA/USDT,1.1738,1.2634,1.0001,1.1567,907361654.3,1030804095,1461174
1624233600000,2021-06-21 0:00:00,ADA/USDT,1.4262,1.4371,1.1672,1.174,512064783,661793161.7,982646
1624147200000,2021-06-20 0:00:00,ADA/USDT,1.384,1.46,1.306,1.4263,269372753.5,373024182.4,718096
1624060800000,2021-06-19 0:00:00,ADA/USDT,1.4164,1.4411,1.3834,1.3839,145492869,206002750.7,405822
1623974400000,2021-06-18 0:00:00,ADA/USDT,1.4825,1.4927,1.374,1.4163,220933715.7,316537834.8,460555
1623888000000,2021-06-17 0:00:00,ADA/USDT,1.4851,1.5388,1.4568,1.4826,165078770.8,247086065.8,443396
1623801600000,2021-06-16 0:00:00,ADA/USDT,1.555,1.5754,1.474,1.4851,203580536,309694677.5,499540
1623715200000,2021-06-15 0:00:00,ADA/USDT,1.5769,1.6109,1.5441,1.5552,216159062.8,340383009.2,486601
1623628800000,2021-06-14 0:00:00,ADA/USDT,1.5563,1.595,1.5056,1.5769,280791163.7,435453251,595345
1623542400000,2021-06-13 0:00:00,ADA/USDT,1.4789,1.58,1.4001,1.5566,330722303.9,490536333,941882
1623456000000,2021-06-12 0:00:00,ADA/USDT,1.4368,1.4934,1.3562,1.4789,362965214.5,517749782.8,731362
1623369600000,2021-06-11 0:00:00,ADA/USDT,1.5328,1.5474,1.4192,1.4371,323101330,482059658,570406
1623283200000,2021-06-10 0:00:00,ADA/USDT,1.6282,1.6378,1.5064,1.5328,312406121.4,488331366.5,604598
1623196800000,2021-06-09 0:00:00,ADA/USDT,1.5818,1.635,1.4827,1.6279,471664344.3,738213512.5,1039122
1623110400000,2021-06-08 0:00:00,ADA/USDT,1.5659,1.5966,1.4,1.5819,612223591,926353837.5,1115207
1623024000000,2021-06-07 0:00:00,ADA/USDT,1.6771,1.7414,1.55,1.5659,341267094.7,568701714.6,763147
1622937600000,2021-06-06 0:00:00,ADA/USDT,1.6555,1.7077,1.6451,1.6771,191999153.7,321777694.7,410877
